"","V1"
"Gallus gallus",1.25
"Taeniopygia guttata",1.25
"Ornithomimid",1.36
"Herrerasaurus ischigualastensis",1.43
"Troodon formosus",1.44
"Meleagris gallopavo",1.54
"Dromaius novaehollandiae",1.63
"Deinonychus antirrhopus",1.65
"Hesperornis sp.",1.71
"Coelophysis bauri",1.74
"Allosaurus fragilis",1.75
"Protoceratops andrewsi",1.8
"Dinornithid",1.86
"Psittacosaurus mongoliensis",1.88
"Spinostropheus gautieri",2.01
"Tyrannosaurus rex",2.08
"Tenontosaurus tilletti",2.1
"Confuciusornis sanctus",2.27
"Diatryma gigantea",2.28
"Brachylophosaurus canadensis",2.37
"Pachycephalosaurid",2.39
"Apatosaurus sp.",2.47
"Orodromeus makelai",2.79
"Styracosaurus albertensis",2.86
"Dryosaurus altus",2.88
"Maiasaura peeblesorum",2.93
"Oviraptor philoceratops",2.96
"Lambeosaur",3.05
"Hypacrosaurus stebingeri",3.09
"Scutellosaurus lawleri",3.17
"Hypsilophodon foxii",3.3
"Euoplocephalus tutus",3.39
"Stygimoloch spinifer",3.51
"Einiosaurus procurvicornis",3.67
"Triceratops horridus",4.22
