Codes Tree 3 ,Codes Tree 4 ,Taxa ,Ln Repeats ,Ln Genome Size 
1,1,Danio rerio ,-1.17993081,0.641853886
2,2,Fugu rubripes ,-4.744432253,-0.891598119
3,3,Tetraodon nigroviridis ,-4.448166437,-0.891598119
4,4,Xenopus tropicalis ,-3.094448246,1.193922468
5,5,Chrysemys picta ,-2.645075402,1.029619417
6,6,Anolis smaragdinus ,-3.483492624,0.828551818
7,7,Sphenodon punctatus ,-2.587604048,1.609437912
8,8,Alligator mississippiensis ,-2.044846897,0.91228271
- ,9,Scutellosaurus lawleri ,? ,1.154996565
- ,10,Euoplocephalus tutus ,? ,1.221672706
- ,11,Stygimoloch spinifer ,? ,1.254806363
- ,12,Pachycephalosaurid ,? ,0.870322145
- ,13,Psittacosaurus mongoliensis ,? ,0.632997088
- ,14,Protoceratops andrewsi ,? ,0.58879109
- ,15,Triceratops horridus ,? ,1.440446227
- ,16,Einiosaurus procurvicornis ,? ,1.300816024
- ,17,Styracosaurus albertensis ,? ,1.051754221
- ,18,Orodromeus makelai ,? ,1.027297241
- ,19,Hypsilophodon foxii ,? ,1.194900601
- ,20,Tenontosaurus tilletti ,? ,0.743259868
- ,21,Dryosaurus altus ,? ,1.058867076
- ,22,Lambeosaur ,? ,1.114517845
- ,23,Hypacrosaurus stebingeri ,? ,1.127264163
- ,24,Maiasaura peeblesorum ,? ,1.075461598
- ,25,Brachylophosaurus canadensis ,? ,0.864441815
- ,26,Apatosaurus sp. ,? ,0.903741733
- ,27,Herrerasaurus ischigualastensis ,? ,0.354875577
- ,28,Coelophysis bauri ,? ,0.555155597
- ,29,Spinostropheus gautieri ,? ,0.698507795
- ,30,Allosaurus fragilis ,? ,0.560835348
- ,31,Tyrannosaurus rex ,? ,0.733118106
- ,32,Ornithomimid ,? ,0.30488073
- ,33,Oviraptor philoceratops ,? ,1.083665127
- ,34,Troodon formosus ,? ,0.367229865
- ,35,Deinonychus antirrhopus ,? ,0.499942171
- ,36,Confuciusornis sanctus ,? ,0.820647424
- ,37,Hesperornis sp. ,? ,0.536677525
- ,38,Dinornithid ,? ,0.619514878
9,39,Dromaius novaehollandiae ,-4.500810171,0.488580015
10,40,Meleagris gallopavo ,-3.249335032,0.431782416
11,41,Gallus gallus ,-2.453407983,0.223143551
- ,42,Diatryma gigantea ,? ,0.82343152
12,43,Taeniopygia guttata ,-3.390257442,0.223143551
13,44,Ornithorhynchus anatinus ,-1.028619917,1.118414916
14,45,Monodelphis domestica ,-1.392714929,1.427916036
15,46,Macaca mulatta ,-0.850971266,1.211940974
16,47,Pan troglodytes ,-0.789658081,1.32175584
17,48,Homo sapiens ,-0.752897185,1.252762968
18,49,Oryctolagus cuniculus ,-1.043840053,1.156881197
19,50,Mus musculus ,-1.058430499,1.187843422
20,51,Rattus norvegicus ,-0.916540763,1.211940974
21,52,Rhinolophus ferrumequinum ,-1.288441961,0.797507196
22,53,Myotis lucifugus ,-1.737271284,0.828551818
23,54,Canis familiaris ,-1.002393431,1.278152203
24,55,Bos taurus ,-1.177980224,1.137833002
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
